# mapping_set_id: https://github.com/edithlaszny/vvo/vvo-mappings-v2-004
# mapping_set_version: 2-004
# license: https://creativecommons.org/licenses/by/4.0/
# creator_id: orcid:0009-0005-6549-9839
# curie_map:
#   VVO: "http://purl.obolibrary.org/obo/VVO_"
#   PO: "http://purl.obolibrary.org/obo/PO_"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   GO: "http://purl.obolibrary.org/obo/GO_"
#   NCBITAXON: "http://purl.bioontology.org/ontology/NCBITAXON/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	predicate_id	object_id	match_type	confidence
VVO:0001689	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001079	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001717	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001946	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002859	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001288	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003115	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002631	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001601	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000682	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003319	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000857	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002265	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003091	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000913	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002352	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002710	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002010	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001214	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003003	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000219	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000968	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000626	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002245	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002533	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001885	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002544	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001609	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002632	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002616	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000122	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002958	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002664	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003084	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003101	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002860	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0003254	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001188	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0000059	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0001746	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
VVO:0002078	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0001639	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0001586	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0002670	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0002990	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0001495	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0000335	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
